CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,F. ENTRADA EN VIGOR,TIPO NORMA,NORMA INTERNACIONAL,PRODUCTO,CONCORDANCIA,RAE,DEPENDENCIA,CCNN,DOCUMENTO
NOM-038-SSA2-2010,"PARA LA PREVENCIÓN, TRATAMIENTO Y CONTROL DE LAS ENFERMEDADES POR DEFICIENCIA DE YODO.",2011-04-21T00:00:00Z,2011-04-22T00:00:00Z,DEFINITIVA,NO ES EQUIVALENTE CON ALGUNA OTRA NORMA OFICIAL MEXICANA,PROTECCION HUMANA,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2010/038ssa2011.pdf
NOM-038-ZOO-1995,REQUISITOS MÍNIMOS PARA LAS BACTERINAS EMPLEADAS EN LA PREVENCIÓN Y  CONTROL DE LA LEPTOSPIROSIS BOVINA.,1996-08-05T00:00:00Z,1996-08-06T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,BACTERINAS,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1996/038-zoo.pdf
NOM-039-NUCL-2011,"ESPECIFICACIONES PARA LA EXENCIÓN DE PRÁCTICAS Y FUENTES ADSCRITAS A ALGUNA PRÁCTICA, QUE UTILIZAN FUENTES DE RADIACIÓN IONIZANTE, DE ALGUNA O DE TODAS LAS CONDICIONES REGULADORAS.",2011-10-26T00:00:00Z,2011-12-25T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,PROTECCION HUMANA,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/2010/039nucl2011.pdf
NOM-039-PESC-2003,PESCA RESPONSABLE DE JAIBA EN AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO. ESPECIFICACIONES PARA SU APROVECHAMIENTO.,2006-07-26T00:00:00Z,2006-10-18T00:00:00Z,DEFINITIVA,NO HAY NORMAS EQUIVALENTES,JAIBA,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2006/039pesc.pdf
NOM-039-SCT3-2010,QUE REGULA LA APLICACIÓN DE DIRECTIVAS DE AERONAVEGABILIDAD Y BOLETINES DE SERVICIO A AERONAVES Y SUS COMPONENTES,2011-04-26T00:00:00Z,2011-06-25T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM.,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2010/039sct32011.pdf
NOM-039-SEMARNAT-1993,"QUE ESTABLECE LOS NIVELES MÁXIMOS PERMISIBLES DE EMISIÓN A LA  ATMÓSFERA DE BIÓXIDO Y TRIÓXIDO DE AZUFRE Y NEBLINAS DE ÁCIDO  SULFÚRICO, EN PLANTAS PRODUCTORAS",1993-10-22T00:00:00Z,1993-10-23T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/1993/039ecol.pdf
NOM-039-SSA2-2002,"PARA LA PREVENCIÓN Y CONTROL DE LAS INFECCIONES DE TRANSMISIÓN SEXUAL.
",2003-09-19T00:00:00Z,2003-09-20T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL MEXICANA NO ES EQUIVALENTE A NINGUNA NORMA INTERNACIONAL,PROTECCION HUMANA,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2003/039ssa2.pdf
NOM-040-FITO-2002,REQUISITOS Y ESPECIFICACIONES PARA LA PRODUCCIÓN Y MOVILIZACIÓN NACIONAL DE PAPA COMERCIAL.,2003-02-21T00:00:00Z,2003-02-22T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NORMAS O RECOMENDACIONES INTERNACIONALES.,PAPA,NO APLICA,AGRICULTURA,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/2003/040fito.pdf
NOM-040-SCFI-1994,INSTRUMENTOS DE MEDICIÓN-INSTRUMENTOS RÍGIDOS REGLAS GRADUADAS PARA  MEDIR LONGITUD- USO COMERCIAL.,1997-11-06T00:00:00Z,1998-01-05T00:00:00Z,DEFINITIVA,OIML R 35-1985,INSTRUMENTOS DE MEDICION,PARCIALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/1997/040-scfi.pdf
NOM-040-SCT-2-2012,"PARA EL TRANSPORTE DE OBJETOS INDIVISIBLES DE GRAN PESO Y/O VOLUMEN, PESO Y DIMENSIONES DE LAS COMBINACIONES VEHICULARES Y DE LAS GRÚAS INDUSTRIALES Y SU TRÁNSITO POR CAMINOS Y PUENTES DE JURISDICCIÓN FEDERAL.",2013-03-20T00:00:00Z,2013-05-19T00:00:00Z,DEFINITIVA,NO ES NECESARIAMENTE CONGRUENTE CON NINGUNA REGLAMENTACIÓN INTERNACIONAL,TRANSPORTE DE PRODUCTOS DE GRAN PESO,NO APLICA,AUTO TRANSPORTE DE CARGA,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2010/040sct22013.pdf
NOM-040-SCT3-2001,"QUE ESTABLECE EL CONTENIDO DEL MANUAL DE DESPACHO PARA EMPRESAS DE TRANSPORTE AÉREO DE SERVICIO AL PÚBLICO, ASÍ COMO PARA EMPRESAS QUE PRESTAN EL SERVICIO DE DESPACHO O DESPACHO Y CONTROL DE VUELOS.
",2002-11-28T00:00:00Z,2003-02-25T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2002/040sct3.pdf
NOM-040-SEMARNAT-2002,PROTECCIÓN AMBIENTAL-FABRICACIÓN DE CEMENTO HIDRÁULICO-NIVELES MÁXIMOS PERMISIBLES DE EMISIÓN A LA ATMÓSFERA.,2002-12-18T00:00:00Z,2003-03-15T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,CEMENTO,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2002/040ecol.pdf
NOM-040-SSA1-1993,BIENES Y SERVICIOS. SAL YODADA Y SAL YODADA FLUORURADA.  ESPECIFICACIONES SANITARIAS. (CONTIENE TRES MODIFICACIONES),1995-03-13T00:00:00Z,1995-11-20T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,SAL YODADA Y FLUORURADA,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/1995/040-ssa1.pdf
NOM-040-ZOO-1995,ESPECIFICACIONES PARA LA COMERCIALIZACIÓN DE SALES PURAS ANTIMICROBIANAS PARA USO EN ANIMALES O CONSUMO POR ÉSTOS.,1996-10-04T00:00:00Z,1996-10-05T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,SALES PARA CONSUMO ANIMAL,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1996/040-zoo.pdf
NOM-041-FITO-2002,"REQUISITOS Y ESPECIFICACIONES FITOSANITARIOS PARA LA PRODUCCIÓN DE MATERIAL PROPAGATIVO ASEXUAL DE PAPA.
",2003-03-04T00:00:00Z,2003-03-05T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NORMAS INTERNACIONALES,PAPA,NO APLICA,AGRICULTURA,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/2003/041fito.pdf
NOM-041-NUCL-2013,LÍMITES ANUALES DE INCORPORACIÓN Y CONCENTRACIONES EN LIBERACIONES.,2013-05-06T00:00:00Z,2013-07-06T00:00:00Z,DEFINITIVA,NO ES POSIBLE ESTABLECER CONCORDANCIA CON NORMAS INTERNACIONALES,MATERIAL RADIOACTIVO,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/2010/041nucl2013.pdf
NOM-041-PESC-2004,"PESCA RESPONSABLE EN EL LAGO DE CATEMACO, UBICADO EN EL ESTADO DE VERACRUZ. ESPECIFICACIONES PARA EL APROVECHAMIENTO DE LOS RECURSOS PESQUEROS.",2007-03-15T00:00:00Z,2007-06-09T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PESCA,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2007/041pesc.pdf
NOM-041-SCFI-1997,INSTRUMENTOS DE MEDICIÓN-MEDIDAS VOLUMÉTRICAS METÁLICAS CILÍNDRICAS  PARA LÍQUIDOS DE 25 ML HASTA 10 L (ESTA NORMA CANCELA LA  NMX-CH-45-1983).,1998-12-09T00:00:00Z,1999-02-07T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL POR NO EXISTIR SOBRE EL TEMA TRATADO,INSTRUMENTOS DE MEDICION,NO APLICA,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/1998/041scfi.pdf
NOM-041-SEMARNAT-2006,QUE ESTABLECE LOS LÍMITES MÁXIMOS PERMISIBLES DE EMISIÓN DE GASES CONTAMINANTES PROVENIENTES DEL ESCAPE DE LOS VEHÍCULOS AUTOMOTORES EN CIRCULACIÓN QUE USAN GASOLINA COMO COMBUSTIBLE.,2007-03-06T00:00:00Z,2007-07-02T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2007/041semarnat2007.pdf
NOM-041-SSA2-2011,"PARA LA PREVENCIÓN, DIAGNÓSTICO, TRATAMIENTO, CONTROL Y VIGILANCIA EPIDEMIOLÓGICA DEL CÁNCER DE MAMA.",2011-06-09T00:00:00Z,2011-06-10T00:00:00Z,DEFINITIVA,ESTA NORMA NO ES EQUIVALENTE CON NINGUNA NORMA INTERNACIONAL.,PROTECCION HUMANA,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2010/041ssa2011.pdf
NOM-041-ZOO-1995,CAMPAÑA NACIONAL CONTRA LA BRUCELOSIS EN LOS ANIMALES.,1996-08-20T00:00:00Z,1996-08-21T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,"CARNE (BOVINO, EQUINO, OVINO Y PORCINO)",NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1996/041-zoo.pdf
NOM-042-PESC-2003,PESCA RESPONSABLE EN EL EMBALSE DE LA PRESA FALCÓN EN EL ESTADO DE TAMAULIPAS. ESPECIFICACIONES PARA EL APROVECHAMIENTO DE LOS RECURSOS PESQUEROS.,2006-07-19T00:00:00Z,2006-10-11T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PESCADO,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2006/042pesc.pdf
NOM-042-SCFI-1997,"INSTRUMENTOS DE MEDICIÓN-MEDIDAS VOLUMÉTRICAS METÁLICAS CON CUELLO  GRADUADO PARA LÍQUIDOS CON CAPACIDADES DE 5 L, 10 L Y 20 L.",1998-12-09T00:00:00Z,1999-02-07T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,INSTRUMENTOS DE MEDICION,NO APLICA,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/1998/042scfi.pdf
NOM-042-SEMARNAT-2003,"QUE ESTABLECE LOS LÍMITES MÁXIMOS PERMISIBLES DE EMISIÓN DE HIDROCARBUROS TOTALES O NO METANO, MONÓXIDO DE CARBONO, ÓXIDOS DE NITRÓGENO Y PARTÍCULAS PROVENIENTES DEL ESCAPE DE LOS VEHÍCULOS AUTOMOTORES NUEVOS CUYO PESO BRUTO VEHICULAR NO EXCEDA LOS 3,857 KILOGRAMOS, QUE USAN GASOLINA, GAS LICUADO DE PETRÓLEO, GAS NATURAL Y DIESEL, ASÍ COMO DE LAS EMISIONES DE HIDROCARBUROS EVAPORATIVOS PROVENIENTES DEL SISTEMA DE COMBUSTIBLE DE DICHOS VEHÍCULOS.",2005-09-07T00:00:00Z,2005-11-30T00:00:00Z,DEFINITIVA,NO CONCUERDA CON NORMAS NI LINEAMIENTOS INTERNACIONALES,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2005/042semarnat.pdf
NOM-042-SSA2-2006,PREVENCIÓN Y CONTROL DE ENFERMEDADES. ESPECIFICACIONES SANITARIAS PARA LOS CENTROS DE ATENCIÓN CANINA.,2008-11-06T00:00:00Z,2008-11-07T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,SERVICIOS,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2008/042ssa2.pdf
NOM-043-FITO-1999,ESPECIFICACIONES PARA PREVENIR LA INTRODUCCIÓN DE MALEZAS  CUARENTENARIAS A MÉXICO.,2000-03-01T00:00:00Z,2000-03-02T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NORMAS INTERNACIONALES HASTA EL MOMENTO DE SU ELABORACIÓN.,PROTECCION VEGETAL,NO APLICA,APROVECHAMIENTO FORESTAL,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/2000/043fito.pdf
NOM-043-PESC-2003,PESCA RESPONSABLE EN EL EMBALSE DE LA PRESA MARTE R. GÓMEZ EN EL ESTADO DE TAMAULIPAS. ESPECIFICACIONES PARA EL APROVECHAMIENTO DE LOS RECURSOS PESQUEROS.,2006-07-20T00:00:00Z,2006-10-12T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PESCADO,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2006/043pesc2006.pdf
NOM-043-SCT/2003,"DOCUMENTO DE EMBARQUE DE SUBSTANCIAS, MATERIALES Y RESIDUOS PELIGROSOS.",2004-01-27T00:00:00Z,2004-04-21T00:00:00Z,DEFINITIVA,"(RECOMMENDATIONS ON THE TRANSPORT OF DANGEROUS GOODS, TWELFTH, REVISED EDITION, UNITED NATIONS, NEW",MATERIALES PELIGROSOS,TOTALMENTE,SERVICIOS RELACIONADOS CON EL TRANSPORTE,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2004/043sct.pdf
NOM-043-SEMARNAT-1993,QUE ESTABLECE LOS NIVELES MÁXIMOS PERMISIBLES DE EMISIÓN A LA  ATMÓSFERA DE PARTÍCULAS SÓLIDAS PROVENIENTES DE FUENTES FIJAS.,1993-10-22T00:00:00Z,1993-10-23T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/1993/043ecol.pdf
NOM-043-SSA2-2012,SERVICIOS BÁSICOS DE SALUD. PROMOCIÓN Y EDUCACIÓN PARA LA SALUD EN MATERIA ALIMENTARIA. CRITERIOS PARA BRINDAR ORIENTACIÓN,2013-01-22T00:00:00Z,2013-01-23T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON OTRAS NORMAS INTERNACIONALES,SERVICIOS MÉDICOS,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2010/043ssa22013.pdf
NOM-043/1-SCT3-2001,QUE REGULA EL SERVICIO DE MANTENIMIENTO Y/O REPARACIÓN DE AERONAVES Y SUS COMPONENTES EN EL EXTRANJERO.,2002-04-08T00:00:00Z,2002-07-02T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO.,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2002/043-1sct3.pdf
NOM-044-PESC-2004,"PESCA RESPONSABLE EN EL EMBALSE DE LA PRESA LA BOQUILLA EN EL ESTADO DE CHIHUAHUA. ESPECIFICACIONES PARA EL APROVECHAMIENTO DE LOS RECURSOS PESQUEROS.
",2006-09-11T00:00:00Z,2006-12-06T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PESCADO,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2006/044pesc.pdf
NOM-044-SCFI-2008,"WATTHORÍMETROS ELECTROMECÁNICOS-DEFINICIONES, CARACTERÍSTICAS Y MÉTODOS DE PRUEBA.",2009-01-13T00:00:00Z,2009-03-12T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,INSTRUMENTOS DE MEDICION,NO APLICA,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2009/044scfi2009.pdf
NOM-044-SEMARNAT-2006,"QUE ESTABLECE LOS LÍMITES MÁXIMOS PERMISIBLES DE EMISIÓN DE HIDROCARBUROS TOTALES, HIDROCARBUROS NO METANO, MONÓXIDO DE CARBONO, ÓXIDOS DE NITRÓGENO, PARTÍCULAS Y OPACIDAD DE HUMO PROVENIENTES DEL ESCAPE DE MOTORES NUEVOS QUE USAN DIESEL COMO COMBUSTIBLE",2006-10-12T00:00:00Z,2007-01-08T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2006/044semarnat.pdf
NOM-044/1-SCT2-1997,INSTRUCCIONES PARA LA EJECUCIÓN DE INSPECCIONES Y REPARACIONES  PROGRAMABLES DE CONSERVACIÓN DEL EQUIPO TRACTIVO FERROVIARIO. PARTE 1.  INSPECCIÓN DIARIA O DE VIAJE.,1998-06-01T00:00:00Z,1998-07-31T00:00:00Z,DEFINITIVA,NO EXISTE REFERENCIA EN TEXTO.,EQUIPO TRACTIVO FERROVIARIO,NO APLICA,TRANSPORTE POR FERROCARRIL,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/1998/44-1sct2.pdf
NOM-044/2-SCT2-1995,"INSTRUCCIONES PARA LA EJECUCIÓN DE INSPECCIONES Y REPARACIONES  PROGRAMABLES DE CONSERVACIÓN DEL EQUIPO TRACTIVO FERROVIARIO. PARTE 2,  INSPECCIÓN TRIMESTRAL O DE 48,000 KILÓMETROS DE RECORRIDO.",1997-05-12T00:00:00Z,1997-05-13T00:00:00Z,DEFINITIVA,NO EXISTE REFERENCIA EN TEXTO.,EQUIPO TRACTIVO FERROVIARIO,NO APLICA,TRANSPORTE POR FERROCARRIL,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/1997/44-2sct2.pdf
NOM-045-PESC-2007,"PESCA RESPONSABLE PARA ORDENAR EL APROVECHAMIENTO DE LA ESPECIE DE CANGREJO MORO (MENIPPE MERCENARIA), EN LAS AGUAS DE JURISDICCIÓN FEDERAL DEL ESTADO DE CAMPECHE. ESPECIFICACIONES PARA SU APROVECHAMIENTO.",2010-09-30T00:00:00Z,2010-11-29T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL MEXICANA NO COINCIDE CON NINGUNA NORMA INTERNACIONAL,PESCA,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2010/045pesc2010.pdf
NOM-045-SCFI-2000,"INSTRUMENTOS DE MEDICIÓN-MANÓMETROS PARA EXTINTORES.(PARA SABER LA FECHA DE VIGENCIA, FAVOR DE CONSULTAR EL TEXTO DE LA NOM)",2001-02-23T00:00:00Z,,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL.,INSTRUMENTOS DE MEDICION,NO APLICA,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2001/045scfi.pdf
NOM-045-SEMARNAT-2006,"PROTECCIÓN AMBIENTAL.- VEHÍCULOS EN CIRCULACIÓN QUE USAN DIESEL COMO COMBUSTIBLE.- LÍMITES MÁXIMOS PERMISIBLES DE OPACIDAD, PROCEDIMIENTO DE PRUEBA Y CARACTERÍSTICAS TÉCNICAS DEL EQUIPO DE MEDICIÓN.",2007-09-13T00:00:00Z,2007-12-07T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2007/045semarnat.pdf
NOM-045-SSA2-2005,"PARA LA VIGILANCIA EPIDEMIOLÓGICA, PREVENCIÓN Y CONTROL DE LAS INFECCIONES NOSOCOMIALES.",2009-11-20T00:00:00Z,2009-11-21T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,SERVICIOS,NO APLICA,HOSPITALES,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2009/045ssa209.pdf
NOM-045-ZOO-1995,"CARACTERÍSTICAS ZOOSANITARIAS PARA LA OPERACIÓN DE ESTABLECIMIENTOS  DONDE SE CONCENTREN ANIMALES PARA FERIAS, EXPOSICIONES, SUBASTAS,  TIANGUIS Y EVENTOS SIMILARES.",1996-08-05T00:00:00Z,1996-08-06T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,SERVICIOS,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1996/045-zoo.pdf
NOM-046-PESC-2005,PESCA RESPONSABLE EN EL EMBALSE DE LA PRESA LA AMISTAD EN EL ESTADO DE COAHUILA. ESPECIFICACIONES PARA EL APROVECHAMIENTO DE LOS RECURSOS PESQUEROS.,2006-07-21T00:00:00Z,2006-10-13T00:00:00Z,DEFINITIVA,NO HAY NORMAS EQUIVALENTES.,PESCADO,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2006/046pesc.pdf
NOM-046-SCFI-1999,INSTRUMENTOS DE MEDICION-CINTAS MÉTRICAS DE ACERO Y FLEXÓMETROS (ESTA  NORMA CANCELA A LA NORMA OFICIAL MEXICANA NOM-046-SCFI-1999),1999-08-24T00:00:00Z,1999-10-23T00:00:00Z,DEFINITIVA,CONCUERDA CON LAS CARACTERÍSTICAS METROLÓGICAS DEL LINEAMIENTO INTERN. 35 DE LA OIML.,INSTRUMENTOS DE MEDICION,TOTALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/1999/046scfi.pdf
